player_name,player_hand,player_ht
Alexander Zverev,R,198
Feliciano Lopez,L,188
Fernando Verdasco,L,188
Malek Jaziri,R,185
Stan Wawrinka,R,183
John Isner,R,206
Pablo Andujar,R,180
Kevin Anderson,R,203
Rafael Nadal,L,185
Richard Gasquet,R,185
Gael Monfils,R,193
Zhe Li,R,185
Jeremy Chardy,R,188
Robin Haase,R,190
Andy Murray,R,190
Novak Djokovic,R,188
Fabio Fognini,R,178
Illya Marchenko,R,185
Mikhail Kukushkin,R,183
Thomaz Bellucci,L,188
Albert Ramos,L,188
Roberto Bautista Agut,R,183
Pedro Sousa,R,180
Adrian Mannarino,L,183
Attila Balazs,R,180
Marin Cilic,R,198
Joao Sousa,R,185
Benoit Paire,R,196
John Millman,R,183
Jason Jung,R,178
Radu Albot,R,175
Steve Johnson,R,188
Kei Nishikori,R,178
Marco Trungelliti,R,178
Facundo Bagnis,L,183
Jan Lennard Struff,R,193
Guido Pella,L,185
Daniel Evans,R,175
Alessandro Giannessi,L,183
Ricardas Berankis,R,175
Vasek Pospisil,R,193
Dusan Lajovic,R,180
Bradley Klahn,L,190
Federico Delbonis,L,190
David Goffin,R,180
Milos Raonic,R,196
Andrey Kuznetsov,R,185
Pierre Hugues Herbert,R,188
Grigor Dimitrov,R,188
Pablo Carreno Busta,R,188
Guido Andreozzi,R,183
Lorenzo Giustino,R,183
Yannick Hanfmann,R,193
Emilio Gomez,R,185
Stefano Travaglia,R,185
James Duckworth,R,183
Marton Fucsovics,R,188
Nikoloz Basilashvili,R,185
Filip Krajinovic,R,185
Federico Coria,R,180
Darian King,R,188
Damir Dzumhur,R,172
Constant Lestienne,R,180
Diego Schwartzman,R,170
Denis Kudla,R,180
Jack Sock,R,185
Marco Cecchinato,R,185
Alexey Vatutin,R,178
Jozef Kovalik,R,183
Egor Gerasimov,R,196
Alex Bolt,L,183
Taro Daniel,R,191
Roberto Carballes Baena,R,183
Gonzalo Lama,R,180
Oriol Roca Batalla,R,173
Jason Kubler,R,178
Denis Yevseyev,U,186
Hugo Dellien,R,180
Jiri Vesely,L,198
Oscar Otte,R,196
Bjorn Fratangelo,R,183
Marcos Giron,R,180
