player_name,surface,tourney_level,avg_ace,avg_df,avg_svpt,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced
Abedallah Shelbayh,Clay,A,2.5,5.0,75.0,39.5,26.5,13.5,10.0,4.5,8.5
Abedallah Shelbayh,Clay,M,3.0,4.0,62.0,36.0,23.0,10.0,8.0,6.0,9.0
Abedallah Shelbayh,Grass,A,2.0,4.0,57.0,32.5,20.0,11.5,9.0,3.5,7.0
Abedallah Shelbayh,Hard,A,6.0,3.3333333333333335,80.0,47.0,33.0,16.0,11.333333333333334,6.333333333333333,9.0
Adam Moundir,Clay,A,1.0,4.0,74.0,38.0,28.0,18.0,11.0,3.0,5.0
Adrian Mannarino,Clay,A,4.0,1.0,86.0,46.5,31.5,17.5,12.5,5.5,10.0
Adrian Mannarino,Clay,G,1.0,5.0,90.0,55.0,33.0,15.0,12.0,14.0,19.0
Adrian Mannarino,Clay,M,1.0,2.0,46.5,26.5,17.0,6.0,7.5,4.5,9.0
Adrian Mannarino,Grass,A,3.5,3.2142857142857144,74.42857142857143,45.142857142857146,32.142857142857146,16.0,11.642857142857142,3.7857142857142856,6.0
Adrian Mannarino,Grass,G,6.5,3.5,91.0,58.0,38.0,18.5,14.5,4.5,7.5
Adrian Mannarino,Hard,A,5.956521739130435,2.0,74.91304347826087,45.73913043478261,33.82608695652174,15.173913043478262,11.869565217391305,3.0,5.130434782608695
Adrian Mannarino,Hard,G,9.2,2.6,121.4,77.6,56.2,23.6,19.4,5.2,8.2
Adrian Mannarino,Hard,M,4.066666666666666,1.4666666666666666,67.93333333333334,39.666666666666664,27.133333333333333,16.066666666666666,10.533333333333333,3.1333333333333333,5.2
Albert Ramos,Clay,A,2.5789473684210527,2.1052631578947367,86.89473684210526,56.26315789473684,36.26315789473684,15.421052631578947,12.578947368421053,7.315789473684211,10.631578947368421
Albert Ramos,Clay,G,7.0,2.0,184.0,118.0,86.0,34.0,25.0,13.0,17.0
Albert Ramos,Clay,M,2.0,1.6,72.6,47.4,31.2,12.8,11.0,4.6,7.4
Albert Ramos,Grass,A,5.0,3.0,78.0,56.0,42.0,12.0,12.0,1.0,1.0
Albert Ramos,Grass,G,2.0,3.0,80.0,60.0,38.0,8.0,13.0,3.0,7.0
Albert Ramos,Hard,A,4.166666666666667,1.8333333333333333,88.0,55.166666666666664,36.833333333333336,15.833333333333334,13.166666666666666,4.0,7.333333333333333
Albert Ramos,Hard,G,4.0,2.0,107.5,70.5,49.0,20.0,18.0,4.0,8.0
Albert Ramos,Hard,M,2.0,2.5,80.5,53.0,33.5,14.5,12.5,4.0,7.5
Alejandro Davidovich Fokina,Clay,A,2.125,1.375,78.375,51.25,35.0,13.75,11.625,5.375,7.5
Alejandro Davidovich Fokina,Clay,G,2.3333333333333335,2.6666666666666665,107.0,72.66666666666667,47.0,17.0,16.0,5.333333333333333,9.333333333333334
Alejandro Davidovich Fokina,Clay,M,1.6666666666666667,1.5,85.33333333333333,63.0,40.666666666666664,11.0,12.0,4.5,7.5
Alejandro Davidovich Fokina,Grass,A,3.5,2.0,78.0,52.0,32.0,17.5,11.5,7.5,10.0
Alejandro Davidovich Fokina,Grass,G,5.0,2.0,126.66666666666667,87.33333333333333,61.0,23.333333333333332,19.0,7.0,9.666666666666666
Alejandro Davidovich Fokina,Hard,A,3.5384615384615383,1.3846153846153846,69.46153846153847,43.38461538461539,29.153846153846153,14.307692307692308,10.23076923076923,4.615384615384615,7.0
Alejandro Davidovich Fokina,Hard,G,4.8,2.8,110.4,74.4,51.4,18.8,17.6,4.4,8.0
Alejandro Davidovich Fokina,Hard,M,3.0,2.0,65.125,40.0625,27.0,13.0,10.0625,2.8125,5.3125
Alejandro Tabilo,Clay,A,8.0,4.5,115.0,68.0,43.5,24.5,15.5,4.5,9.5
Alejandro Tabilo,Hard,A,6.0,4.0,59.0,34.0,23.0,5.0,9.0,9.0,14.0
Alejandro Tabilo,Hard,M,7.0,1.75,69.75,46.25,34.5,13.75,10.5,2.75,4.0
Aleksandar Kovacevic,Clay,A,9.0,2.0,64.0,36.0,27.0,13.0,10.0,1.0,3.0
Aleksandar Kovacevic,Clay,G,7.0,4.0,104.0,55.0,37.0,20.0,14.0,7.0,12.0
Aleksandar Kovacevic,Grass,A,2.0,4.0,50.0,31.0,12.0,6.0,6.0,4.0,10.0
Aleksandar Kovacevic,Hard,A,10.2,3.6,76.0,44.4,34.6,14.2,12.2,3.8,6.4
Aleksandar Kovacevic,Hard,M,5.5,1.25,77.75,49.0,34.25,15.5,11.5,3.0,5.5
Aleksandar Vukic,Clay,A,12.0,2.0,77.0,50.0,38.0,12.0,15.0,1.0,5.0
Aleksandar Vukic,Grass,A,11.0,1.0,88.66666666666667,54.333333333333336,40.333333333333336,20.666666666666668,13.0,3.6666666666666665,5.333333333333333
Aleksandar Vukic,Grass,G,8.5,3.0,96.0,61.5,46.0,16.5,17.0,3.0,7.0
Aleksandar Vukic,Hard,A,10.307692307692308,3.0,88.84615384615384,53.15384615384615,38.46153846153846,17.76923076923077,13.615384615384615,3.923076923076923,6.615384615384615
Aleksandar Vukic,Hard,G,12.0,4.0,120.5,75.5,52.5,22.0,18.5,8.0,12.0
Aleksandar Vukic,Hard,M,7.0,0.8571428571428571,69.0,43.0,33.0,13.0,11.142857142857142,2.5714285714285716,4.428571428571429
Alessandro Giannessi,Clay,A,1.0,1.0,50.0,31.0,14.0,7.0,8.0,2.0,8.0
Alex Bolt,Grass,A,7.0,5.0,71.0,42.0,34.0,16.0,13.0,3.0,5.0
Alex Bolt,Hard,A,5.5,1.5,51.5,27.0,21.5,13.0,9.0,1.5,3.0
Alex De Minaur,Clay,A,0.0,2.0,32.333333333333336,15.0,12.0,8.666666666666666,5.0,3.0,4.0
Alex De Minaur,Clay,G,3.0,4.0,107.0,63.0,38.5,24.5,15.5,6.5,10.5
Alex De Minaur,Clay,M,1.0,1.8,61.0,34.4,25.2,13.8,10.4,2.4,5.0
Alex De Minaur,Grass,A,3.4285714285714284,2.5714285714285716,70.28571428571429,41.285714285714285,30.714285714285715,17.285714285714285,11.428571428571429,1.8571428571428572,3.142857142857143
Alex De Minaur,Grass,G,8.5,4.0,111.0,62.0,45.5,29.0,18.0,4.0,7.0
Alex De Minaur,Hard,A,3.3846153846153846,2.6153846153846154,69.38461538461539,38.88461538461539,28.307692307692307,16.423076923076923,10.923076923076923,3.0384615384615383,5.115384615384615
Alex De Minaur,Hard,G,4.25,3.0,84.0,45.375,33.375,21.75,14.375,2.625,5.375
Alex De Minaur,Hard,M,3.7333333333333334,2.533333333333333,75.06666666666666,42.333333333333336,30.2,15.6,11.266666666666667,4.666666666666667,7.6
Alex Michelsen,Grass,A,5.0,2.0,77.33333333333333,50.333333333333336,36.833333333333336,16.0,12.333333333333334,3.0,4.5
Alex Michelsen,Hard,A,3.25,2.25,78.0,49.5,34.5,14.25,11.25,4.5,6.75
Alex Michelsen,Hard,G,6.0,2.0,95.5,68.0,45.0,13.5,16.0,3.5,7.5
Alex Molcan,Clay,A,2.3333333333333335,2.4166666666666665,79.16666666666667,52.833333333333336,33.333333333333336,13.5,11.916666666666666,5.0,8.5
Alex Molcan,Clay,G,3.0,2.5,93.0,63.0,38.5,14.0,14.0,6.5,11.5
Alex Molcan,Clay,M,3.25,1.75,81.0,54.0,38.5,14.0,12.25,6.25,8.25
Alex Molcan,Grass,G,2.0,6.0,98.0,65.0,43.0,14.0,14.0,10.0,14.0
Alex Molcan,Hard,A,2.3333333333333335,4.0,47.666666666666664,28.666666666666668,18.0,9.0,7.333333333333333,2.3333333333333335,5.333333333333333
Alex Molcan,Hard,G,6.333333333333333,6.0,152.33333333333334,90.0,61.0,34.0,25.0,7.333333333333333,13.666666666666666
Alex Molcan,Hard,M,2.3333333333333335,2.5,63.5,42.333333333333336,29.333333333333332,10.333333333333334,9.0,5.0,6.666666666666667
Alex Rybakov,Hard,A,7.0,2.0,103.0,78.0,45.0,16.0,14.0,5.0,9.0
Alexandar Lazarov,Hard,A,1.0,3.5,52.0,35.5,21.5,4.5,8.0,5.5,9.5
Alexander Blockx,Hard,A,8.0,1.0,69.0,48.0,37.0,10.0,11.0,5.0,6.0
Alexander Bublik,Clay,A,3.5,5.5,44.0,23.5,14.5,7.0,7.5,1.5,5.5
Alexander Bublik,Clay,G,17.0,12.0,133.0,66.0,50.0,32.0,23.0,8.0,14.0
Alexander Bublik,Clay,M,10.666666666666666,9.0,92.83333333333333,57.0,42.666666666666664,16.833333333333332,13.833333333333334,4.333333333333333,6.833333333333333
Alexander Bublik,Grass,A,13.714285714285714,6.714285714285714,69.14285714285714,39.714285714285715,32.142857142857146,15.0,11.0,3.4285714285714284,4.714285714285714
Alexander Bublik,Grass,G,21.0,9.5,110.75,71.25,62.0,19.75,19.0,3.25,4.5
Alexander Bublik,Hard,A,9.9,6.6,72.5,43.45,34.55,12.95,11.3,3.3,5.2
Alexander Bublik,Hard,G,13.0,16.5,111.5,58.0,44.5,20.5,18.0,5.5,11.5
Alexander Bublik,Hard,M,8.5,6.166666666666667,62.666666666666664,37.166666666666664,28.166666666666668,11.166666666666666,10.166666666666666,3.1666666666666665,5.666666666666667
Alexander Ritschard,Clay,A,5.333333333333333,2.0,78.33333333333333,46.333333333333336,31.333333333333332,14.0,11.666666666666666,6.666666666666667,10.0
Alexander Ritschard,Hard,A,5.0,1.5,58.5,37.0,27.0,9.5,10.0,2.0,4.5
Alexander Shevchenko,Clay,A,2.6,2.4,61.4,36.0,22.0,12.6,9.8,2.8,6.0
Alexander Shevchenko,Clay,G,3.5,3.5,107.0,59.5,38.0,20.5,15.5,9.0,15.5
Alexander Shevchenko,Clay,M,3.6,3.0,72.8,39.2,26.2,17.6,11.2,3.8,6.6
Alexander Shevchenko,Grass,G,2.0,3.0,77.0,53.0,31.0,10.0,13.0,7.0,13.0
Alexander Shevchenko,Hard,A,5.352941176470588,2.235294117647059,81.6470588235294,49.0,36.11764705882353,16.823529411764707,12.470588235294118,4.588235294117647,6.764705882352941
Alexander Shevchenko,Hard,G,7.0,2.0,73.0,45.0,29.0,9.0,12.0,5.0,10.0
Alexander Shevchenko,Hard,M,1.0,3.5,74.5,41.0,27.5,17.0,13.0,3.0,7.0
Alexander Zverev,Clay,A,4.5,2.3333333333333335,52.916666666666664,38.083333333333336,29.666666666666668,6.75,9.083333333333334,1.8333333333333333,2.9166666666666665
Alexander Zverev,Clay,G,7.166666666666667,6.333333333333333,103.0,67.83333333333333,49.0,17.0,15.5,7.333333333333333,10.166666666666666
Alexander Zverev,Clay,M,6.555555555555555,3.4444444444444446,73.33333333333333,48.0,34.111111111111114,11.222222222222221,11.555555555555555,3.7777777777777777,6.555555555555555
Alexander Zverev,Grass,A,8.75,2.5,62.5,41.25,32.25,11.0,10.0,2.0,2.5
Alexander Zverev,Grass,G,15.0,2.6666666666666665,100.0,72.0,58.666666666666664,17.333333333333332,18.0,4.0,4.666666666666667
Alexander Zverev,Hard,A,8.416666666666666,1.9583333333333333,75.0,56.375,41.708333333333336,9.291666666666666,12.125,2.7916666666666665,4.416666666666667
Alexander Zverev,Hard,G,13.0,5.571428571428571,118.85714285714286,82.42857142857143,61.42857142857143,16.428571428571427,19.285714285714285,3.4285714285714284,7.428571428571429
Alexander Zverev,Hard,M,7.066666666666666,2.066666666666667,74.93333333333334,52.06666666666667,36.53333333333333,12.2,11.666666666666666,3.6666666666666665,5.666666666666667
Alexandre Muller,Clay,A,3.5,2.125,74.625,45.0,30.75,14.0,11.0,4.25,7.125
Alexandre Muller,Clay,G,3.0,0.0,70.0,43.0,22.0,13.0,12.0,4.0,10.0
Alexandre Muller,Clay,M,3.0,0.5,46.0,31.5,20.5,10.0,8.0,2.0,3.5
Alexandre Muller,Grass,G,5.5,4.0,130.5,87.5,51.5,25.5,18.0,12.5,16.0
Alexandre Muller,Hard,A,2.5714285714285716,1.0,74.57142857142857,50.57142857142857,32.142857142857146,12.142857142857142,11.0,4.285714285714286,7.571428571428571
Alexandre Muller,Hard,G,4.0,5.0,68.0,45.0,26.0,7.0,12.0,5.0,13.0
Alexandre Muller,Hard,M,8.0,1.5,82.5,51.0,37.0,13.0,12.0,4.5,7.5
Alexei Popyrin,Clay,A,5.777777777777778,2.888888888888889,76.66666666666667,45.0,34.44444444444444,16.88888888888889,12.11111111111111,2.3333333333333335,4.111111111111111
Alexei Popyrin,Clay,G,9.0,6.0,121.0,75.0,53.0,17.0,17.0,11.0,17.0
Alexei Popyrin,Clay,M,9.428571428571429,1.7142857142857142,86.85714285714286,53.0,40.857142857142854,18.571428571428573,13.714285714285714,4.142857142857143,5.571428571428571
Alexei Popyrin,Grass,A,5.333333333333333,0.6666666666666666,55.333333333333336,33.333333333333336,25.333333333333332,12.0,9.666666666666666,2.6666666666666665,5.0
Alexei Popyrin,Grass,G,25.0,5.0,158.0,90.0,68.0,27.0,24.0,9.0,15.0
Alexei Popyrin,Hard,A,13.8,3.8,93.6,59.1,45.4,15.3,14.1,4.3,6.8
Alexei Popyrin,Hard,G,20.0,4.25,142.25,94.75,74.0,24.75,21.75,7.5,9.5
Alexei Popyrin,Hard,M,8.0,2.8,73.7,44.5,33.6,14.6,11.2,3.7,5.5
Alexey Vatutin,Clay,A,0.0,2.0,71.0,41.0,19.0,15.0,9.0,6.0,11.0
Alexis Galarneau,Hard,M,3.0,3.0,81.0,52.0,34.0,14.0,14.0,1.0,6.0
Alibek Kachmazov,Hard,A,4.666666666666667,3.3333333333333335,78.0,42.666666666666664,29.333333333333332,15.0,12.0,4.333333333333333,9.0
